DateTime,Gearbox - DS
6/15/2022 8:32,0.0071
6/15/2022 9:32,0.0072
6/15/2022 10:32,0.0071
6/15/2022 11:32,0.0074
6/15/2022 12:32,0.0072
6/15/2022 13:32,0.0071
6/15/2022 14:32,0.0071
6/15/2022 15:32,0.0074
6/15/2022 16:32,0.0071
6/15/2022 17:32,0.0072
6/15/2022 18:32,0.0074
6/15/2022 19:32,0.0073
6/15/2022 20:32,0.0106
6/15/2022 21:32,0.0099
6/15/2022 22:32,0.0104
6/15/2022 23:32,0.0093
6/16/2022 0:32,0.0098
6/16/2022 1:32,0.0094
6/16/2022 2:32,0.0093
6/16/2022 3:32,0.0096
6/16/2022 4:32,0.0093
6/16/2022 5:32,0.0087
6/16/2022 6:32,0.0087
6/16/2022 7:32,0.0088
6/16/2022 8:32,0.009
6/16/2022 9:32,0.0088
6/16/2022 10:32,0.0089
6/16/2022 11:32,0.0086
6/16/2022 12:32,0.0092
6/16/2022 13:32,0.009
6/16/2022 14:32,0.0098
6/16/2022 15:32,0.0089
6/16/2022 16:32,0.0102
6/16/2022 17:32,0.0093
6/16/2022 18:32,0.0095
6/16/2022 19:32,0.0093
6/16/2022 20:32,0.0098
6/16/2022 21:32,0.0101
6/16/2022 22:32,0.0096
6/16/2022 23:32,0.0099
6/17/2022 0:32,0.01
6/17/2022 1:32,0.0108
6/17/2022 2:32,0.0095
6/17/2022 3:32,0.01
6/17/2022 4:32,0.0095
6/17/2022 5:32,0.0096
6/17/2022 6:32,0.0099
6/17/2022 7:32,0.0105
6/17/2022 8:32,0.01
6/17/2022 9:32,0.0101
6/17/2022 10:32,0.0094
6/17/2022 11:32,0.0096
6/17/2022 12:32,0.0094
6/17/2022 13:32,0.0091
6/17/2022 14:32,0.0097
6/17/2022 15:32,0.0095
6/17/2022 16:32,0.0096
6/17/2022 17:32,0.0091
6/17/2022 18:32,0.009
6/17/2022 19:32,0.0104
6/17/2022 20:32,0.0072
6/17/2022 22:32,0.0073
6/17/2022 23:32,0.0074
6/18/2022 0:32,0.0071
6/18/2022 1:32,0.0074
6/18/2022 2:32,0.0072
6/18/2022 3:32,0.0073
6/18/2022 4:32,0.0074
6/18/2022 5:32,0.0073
6/18/2022 6:32,0.0076
6/18/2022 7:32,0.0075
6/18/2022 8:32,0.0073
6/18/2022 9:32,0.0073
6/18/2022 10:32,0.0074
6/18/2022 11:32,0.0076
6/18/2022 12:32,0.0083
6/18/2022 13:32,0.0085
6/18/2022 14:32,0.0084
6/18/2022 15:32,0.0077
6/18/2022 16:32,0.0075
6/18/2022 17:32,0.008
6/18/2022 18:32,0.0081
6/18/2022 19:32,0.0082
6/18/2022 20:32,0.0082
6/18/2022 21:32,0.0075
6/18/2022 22:32,0.0087
6/18/2022 23:32,0.0085
6/19/2022 0:32,0.0085
6/19/2022 1:32,0.008
6/19/2022 2:32,0.0082
6/19/2022 3:32,0.0083
6/19/2022 4:32,0.0078
6/19/2022 5:32,0.0076
6/19/2022 6:32,0.0074
6/19/2022 7:32,0.0081
6/19/2022 8:32,0.008
6/19/2022 9:32,0.0082
6/19/2022 10:32,0.0081
6/19/2022 11:32,0.0079
6/19/2022 12:32,0.008
6/19/2022 13:32,0.0082
6/19/2022 14:32,0.0084
6/19/2022 15:32,0.0083
6/19/2022 16:32,0.0077
6/19/2022 17:32,0.0086
6/19/2022 18:32,0.0078
6/19/2022 19:32,0.0081
6/19/2022 20:32,0.0079
6/19/2022 21:32,0.0083
6/19/2022 22:32,0.0079
6/19/2022 23:32,0.0077
6/20/2022 0:32,0.0081
6/20/2022 1:32,0.0086
6/20/2022 2:32,0.0075
6/20/2022 3:32,0.0079
6/20/2022 4:32,0.0076
6/20/2022 5:32,0.0092
6/20/2022 6:32,0.0083
6/20/2022 7:32,0.0081
6/20/2022 8:32,0.0086
6/20/2022 9:32,0.0092
6/20/2022 10:32,0.0078
6/20/2022 11:32,0.0082
6/20/2022 12:32,0.0075
6/20/2022 13:32,0.0075
6/20/2022 14:32,0.0075
6/20/2022 15:32,0.0077
6/20/2022 16:32,0.008
